"Problem","File","Severity","Line","Column","Rule","Description","URL","Category","Engine"
"1","C:\Users\Hamza\OneDrive\Documents\GitHub\filogixapp\FilogixApp\force-app\main\default\aura\PicklistCMP\PicklistCMPController.js","2","2","32","no-unused-vars","'event' is defined but never used.","https://eslint.org/docs/rules/no-unused-vars","Variables","eslint"
"2","C:\Users\Hamza\OneDrive\Documents\GitHub\filogixapp\FilogixApp\force-app\main\default\aura\PicklistCMP\PicklistCMPController.js","2","2","39","no-unused-vars","'helper' is defined but never used.","https://eslint.org/docs/rules/no-unused-vars","Variables","eslint"
"3","C:\Users\Hamza\OneDrive\Documents\GitHub\filogixapp\FilogixApp\force-app\main\default\aura\PicklistCMP\PicklistCMPController.js","2","35","9","no-undef","'$A' is not defined.","https://eslint.org/docs/rules/no-undef","Variables","eslint"
"4","C:\Users\Hamza\OneDrive\Documents\GitHub\filogixapp\FilogixApp\force-app\main\default\aura\SendToFilogix_Component\SendToFilogix_ComponentController.js","2","2","34","no-unused-vars","'event' is defined but never used.","https://eslint.org/docs/rules/no-unused-vars","Variables","eslint"
"5","C:\Users\Hamza\OneDrive\Documents\GitHub\filogixapp\FilogixApp\force-app\main\default\aura\SendToFilogix_Component\SendToFilogix_ComponentController.js","2","2","41","no-unused-vars","'helper' is defined but never used.","https://eslint.org/docs/rules/no-unused-vars","Variables","eslint"
"6","C:\Users\Hamza\OneDrive\Documents\GitHub\filogixapp\FilogixApp\force-app\main\default\aura\SendToFilogix_Component\SendToFilogix_ComponentController.js","2","18","25","no-unused-vars","'ordNum' is assigned a value but never used.","https://eslint.org/docs/rules/no-unused-vars","Variables","eslint"
"7","C:\Users\Hamza\OneDrive\Documents\GitHub\filogixapp\FilogixApp\force-app\main\default\aura\SendToFilogix_Component\SendToFilogix_ComponentController.js","2","20","38","no-undef","'$A' is not defined.","https://eslint.org/docs/rules/no-undef","Variables","eslint"
"8","C:\Users\Hamza\OneDrive\Documents\GitHub\filogixapp\FilogixApp\force-app\main\default\aura\SendToFilogix_Component\SendToFilogix_ComponentController.js","2","30","25","no-unused-vars","'errors' is assigned a value but never used.","https://eslint.org/docs/rules/no-unused-vars","Variables","eslint"
"9","C:\Users\Hamza\OneDrive\Documents\GitHub\filogixapp\FilogixApp\force-app\main\default\aura\SendToFilogix_Component\SendToFilogix_ComponentController.js","2","31","25","no-redeclare","'toastEvent' is already defined.","https://eslint.org/docs/rules/no-redeclare","Best Practices","eslint"
"10","C:\Users\Hamza\OneDrive\Documents\GitHub\filogixapp\FilogixApp\force-app\main\default\aura\SendToFilogix_Component\SendToFilogix_ComponentController.js","2","31","38","no-undef","'$A' is not defined.","https://eslint.org/docs/rules/no-undef","Variables","eslint"
"11","C:\Users\Hamza\OneDrive\Documents\GitHub\filogixapp\FilogixApp\force-app\main\default\aura\SendToFilogix_Component\SendToFilogix_ComponentController.js","2","43","17","no-undef","'$A' is not defined.","https://eslint.org/docs/rules/no-undef","Variables","eslint"
"12","C:\Users\Hamza\OneDrive\Documents\GitHub\filogixapp\FilogixApp\force-app\main\default\aura\SendToFilogix_Component\SendToFilogix_ComponentController.js","2","44","17","no-undef","'$A' is not defined.","https://eslint.org/docs/rules/no-undef","Variables","eslint"
"13","C:\Users\Hamza\OneDrive\Documents\GitHub\filogixapp\FilogixApp\force-app\main\default\aura\SendToFilogix_Component\SendToFilogix_ComponentController.js","2","47","21","no-redeclare","'errors' is already defined.","https://eslint.org/docs/rules/no-redeclare","Best Practices","eslint"
"14","C:\Users\Hamza\OneDrive\Documents\GitHub\filogixapp\FilogixApp\force-app\main\default\aura\SendToFilogix_Component\SendToFilogix_ComponentController.js","2","48","21","no-redeclare","'toastEvent' is already defined.","https://eslint.org/docs/rules/no-redeclare","Best Practices","eslint"
